Player,Season,Team,Shoots,Pos,GP,G,A,P,PlusMinus,PIM,PtsPerGm,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,ShotPct,FOWPct,TOI
Pierre Engvall,20192020,TOR,L,L,44,8,7,15,5,6,0.34,7,13,0,0,1,2,0,3,66,12.1,38.8,12.06666667
Filip Zadina,20192020,DET,L,R,28,8,7,15,-13,2,0.54,4,8,4,7,0,0,0,1,60,13.3,100,15.16666667
David Kampf,20192020,CHI,L,C,65,7,8,15,-9,6,0.23,6,14,0,0,1,1,0,2,86,8.1,51.9,13.85
Brock McGinn,20192020,CAR,L,L,64,7,8,15,-8,15,0.23,5,13,0,0,2,2,0,1,91,7.7,36.8,13.11666667
Jonathan Drouin,20192020,MTL,L,L,27,7,8,15,-6,14,0.56,6,11,1,4,0,0,0,1,51,13.7,33.3,15.7
P.K. Subban,20192020,NJD,R,D,64,7,8,15,-17,77,0.23,5,11,2,4,0,0,0,3,145,4.8,--,22.03333333
Brian Boyle,20192020,FLA,L,C,39,6,9,15,-5,17,0.38,5,14,1,1,0,0,0,1,56,10.7,52.4,12.38333333
Dillon Dube,20192020,CGY,L,C,42,5,10,15,0,6,0.36,5,14,0,1,0,0,0,2,58,8.6,0,12.71666667
Justin Faulk,20192020,STL,R,D,66,5,10,15,-5,30,0.23,4,11,1,3,0,1,0,1,138,3.6,--,20.55
Troy Terry,20192020,ANA,R,R,47,4,11,15,-5,6,0.32,4,13,0,2,0,0,0,0,73,5.5,37.5,14.51666667
Troy Stecher,20192020,VAN,R,D,65,4,11,15,7,32,0.23,4,15,0,0,0,0,0,0,79,5.1,--,15.33333333
Henri Jokiharju,20192020,BUF,R,D,65,4,11,15,-4,32,0.23,3,13,1,2,0,0,0,0,72,5.6,--,17.25
Ryan Carpenter,20192020,CHI,R,C,64,3,12,15,-6,24,0.23,2,12,0,0,1,3,0,0,73,4.1,43.1,14.28333333
Radko Gudas,20192020,WSH,R,D,62,2,13,15,17,40,0.24,2,15,0,0,0,0,0,1,90,2.2,--,16.8
Casey Cizikas,20192020,NYI,L,C,48,10,4,14,12,41,0.29,7,9,0,0,3,5,0,1,67,14.9,53.5,14.3
Drake Caggiula,20192020,CHI,L,C,36,8,6,14,-6,25,0.39,7,12,1,1,0,1,0,0,50,16,28.6,11.9
Riley Sheahan,20192020,EDM,L,C,61,7,7,14,-12,6,0.23,6,12,0,0,1,2,0,1,64,10.9,49.5,12.85
Carson Soucy,20192020,MIN,L,D,55,7,7,14,16,18,0.25,6,13,0,0,1,1,0,1,61,11.5,--,15.63333333
