"Age","Gender","Education","Educ","Political","Mean_Animal_reminder","Mean_Contamination","Mean_core","Mean_general_ds"
33,"female",12,"HS","center",1.875,2.5,2.27272727272727,2.17391304347826
48,"female",18,"Grad_Prof","center",3.375,3.25,2.72727272727273,3.04347826086957
31,"male",15,"Coll_Univ","left",2.375,2.5,3.09090909090909,2.73913043478261
21,"female",12,"HS","right",NA,NA,NA,NA
23,"male",12,"HS","right",2.125,0.75,1.18181818181818,1.43478260869565
32,"male",13,"HS","center",3.75,2,3.18181818181818,3.17391304347826
29,"female",12,"HS","center",1.25,1.5,1.63636363636364,1.47826086956522
34,"female",15,"Coll_Univ","left",2.75,1.75,2.81818181818182,2.60869565217391
29,"female",15,"Coll_Univ","right",1.875,1.25,1.45454545454545,1.56521739130435
26,"male",12,"HS","center",1.125,1,0.818181818181818,0.956521739130435
20,"female",12.5,"HS","center",NA,NA,NA,NA
22,"male",13,"HS","center",2.125,2,2.72727272727273,2.39130434782609
21,"female",12,"HS","right",1.625,2,1.54545454545455,1.65217391304348
23,"male",12,"HS","right",2,3,2.81818181818182,2.56521739130435
28.5,"male",17,"Grad_Prof","right",NA,NA,NA,NA
22,"female",12,"HS","left",1.875,0.75,1.72727272727273,1.60869565217391
60,"male",13,"HS","right",2.5,2,2.09090909090909,2.21739130434783
25,"male",15,"Coll_Univ","center",2.125,1.75,1.36363636363636,1.69565217391304
28,"female",17,"Grad_Prof","left",2,0.5,2.18181818181818,1.82608695652174
22,"female",12,"HS","center",3.125,0.75,3,2.65217391304348
25,"female",NA,NA,"right",NA,NA,NA,NA
32,"male",15,"Coll_Univ","right",0.75,1,1.63636363636364,1.21739130434783
30,"female",15,"Coll_Univ","right",3.5,13.25,3.54545454545455,5.21739130434783
34,"female",18,"Grad_Prof","left",2.625,1.5,2.45454545454545,2.34782608695652
64,"female",12,"HS","right",1.875,2.25,2,2
24,"male",14,"HS","right",2.5,0.5,2.63636363636364,2.21739130434783
25,"female",15,"Coll_Univ","left",2.375,2.5,3.27272727272727,2.82608695652174
20,"female",13,"HS","right",2.625,1.75,2.18181818181818,2.26086956521739
38,"female",19,"Grad_Prof","left",2.625,1.5,2.81818181818182,2.52173913043478
27,"female",15,"Coll_Univ","left",2.875,2.5,2.54545454545455,2.65217391304348
34,"male",15,"Coll_Univ","left",2,2,2.72727272727273,2.34782608695652
26,"male",13,"HS","center",2.375,2,2.90909090909091,2.56521739130435
33,"male",18,"Grad_Prof","left",2.25,2,2.36363636363636,2.26086956521739
